,isbn10,authors
185,0060598891,Janet Evanovich
186,0060598964,Christopher Hitchens
187,0060598972,Karen Armstrong
188,0060609176,Marcus J. Borg
189,0060609192,Marcus J. Borg
190,006062213X,Elisabeth Elliot
191,006064589X,Sue Monk Kidd
192,0060652853,C. S. Lewis
193,0060652896,C. S. Lewis
194,0060652926,C. S. Lewis
195,0060654856,Thomas Merton
196,0060727535,Johnny Cash
197,0060727632,C. S. Lewis
198,0060730552,Joe Simpson
199,0060731303,Marian Keyes
200,0060732709,Jennifer Frantz
201,0060733357,Neal Stephenson
202,0060734019,Katherine Paterson
203,0060735422,Christopher Moore
204,0060735449,Christopher Moore
205,0060735457,Christopher Moore
206,0060736259,Francesca Lia Block
207,0060737042,Peter Abrahams
208,0060739428,Karen Cushman
209,0060745908,Gregory Maguire
210,0060747226,Gregory Maguire
211,0060747471,Mary Stewart
212,006074748X,Mary Stewart
213,0060753102,Robin McKinley
214,0060753633,Esther Perel
215,0060754001,Kevin Walsh
216,0060758767,Marilyn Johnson
217,0060760257,Kaye Gibbons
218,0060760443,Elizabeth Noble
219,0060760826,Gregory Maguire
220,0060761539,C. S. Lewis
221,0060763728,Francesca Lia Block
222,0060765313,Michael F Roizen
222,0060765313,Mehmet C Oz
223,0060765453,C. S. Lewis
224,0060765488,C. S. Lewis
225,0060766743,R.L. Stine
226,0060773758,Lynsay Sands
227,0060775858,Margaret Wise Brown
228,0060776099,Aldous Huxley
229,0060777109,Michael Chabon
230,0060777338,Ray Bradbury
231,0060778016,Rene Steinke
232,0060782137,Editors of TIME For Kids
233,0060786736,Charles Todd
234,0060787031,Marian Keyes
235,0060788194,Kim Harrison
236,0060788380,Kim Harrison
237,0060790598,Michael Chabon
238,0060792175,Jonathan Safran Foer
239,0060792787,Raymond E. Feist
240,0060792809,Raymond E. Feist
241,0060793198,Jorge Cruise
242,0060815523,Mark Bowden
242,0060815523,Otto Penzler
242,0060815523,Thomas H. Cook
243,0060815914,Trudi Canavan
244,0060815922,Trudi Canavan
245,0060816228,Joyce Carol Oates
246,0060819227,C. S. Lewis
247,0060823720,Mary Stewart
248,0060833173,Neal Stephenson
249,0060833181,Neal Stephenson
250,0060834005,Richard Wright
251,0060837160,John Shea
252,0060837330,Robert Hutchinson
253,0060837551,Colleen McCullough
254,0060838590,Simon Winchester
255,0060839783,Simon Winchester
256,0060840889,Lawrence Block
257,0060841869,Milan Kundera
258,0060844094,Steve Turner
259,0060845244,C. S. Lewis
259,0060845244,Pauline Baynes
260,0060845309,Oscar Hijuelos
261,0060846739,Eleanor Herman
262,0060850523,Aldous Huxley
263,0060851988,Meg Cabot
264,0060852550,Barbara Kingsolver
264,0060852550,Camille Kingsolver
264,0060852550,Steven L. Hopp
265,0060853980,Neil Gaiman
265,0060853980,Terry Pratchett
266,006085409X,Kim Harrison
266,006085409X,Lynsay Sands
266,006085409X,Kelley Armstrong
266,006085409X,Lori Handeland
267,0060854944,Russell Banks
268,0060872799,Lawrence Block
269,0060872985,Michael Crichton
270,0060880120,Meg Cabot
271,0060882603,E. B. White
272,0060882816,Jennifer Frantz
273,0060882867,Gabriel Garcia Marquez
274,0060884053,Neil Strauss
274,0060884053,Bernard Chang
275,0060885378,Laura Ingalls Wilder
276,0060885386,Laura Ingalls Wilder
277,0060885424,Laura Ingalls Wilder
278,0060885432,Laura Ingalls Wilder
279,0060885459,Laura Ingalls Wilder
280,0060887966,Paulo Coelho
281,0060889446,Liz Goldwyn
282,0060891564,Michael Crichton
283,0060894083,Matt Ridley
284,0060898658,Jess Walter
285,0060899220,Anthony Bourdain
286,0060906820,James Hillman
287,006091307X,Thomas Pynchon
288,0060915188,Annie Dillard
289,0060915412,Annie Dillard
290,0060915439,Annie Dillard
291,0060916095,Jiddu Krishnamurti
292,006091646X,Harriet Lerner
293,0060916494,Zora Neale Hurston
294,0060916516,Zora Neale Hurston
295,0060916818,David Bradley
296,0060919884,Annie Dillard
297,0060920084,Bill Bryson
298,0060920645,Annie Dillard
299,0060921080,Howard Zinn
300,0060921714,Zora Neale Hurston
301,0060922559,Richard Shenkman
302,0060924985,Isabel Allende
303,0060925752,Thomas Moore
304,0060925817,Joseph Gies
305,0060926961,Denis Johnson
306,0060927194,Russell Banks
307,0060927518,Milan Kundera
308,0060927542,Oscar Hijuelos
309,0060928417,Milan Kundera
310,0060929596,John Colapinto
311,0060929871,Aldous Huxley
312,0060930055,Thomas Wolfe
313,0060930136,Paulo Coelho
314,0060930217,Thomas Pynchon
315,0060930314,Milan Kundera
316,0060930535,Barbara Kingsolver
317,0060930861,Russell Banks
318,0060931361,Lou Marinoff
319,0060931671,Thomas Pynchon
320,0060931809,Simon Winchester
320,0060931809,Soun Vannithone
321,0060931957,Homer
322,006093266X,Gabriel Garcia Marquez
323,0060932686,Gabriel Garcia Marquez
324,0060933526,Robert Cullen
325,0060934433,Michela Wrong
326,0060934549,Zora Neale Hurston
327,0060934913,Anthony Bourdain
328,0060935553,Jay Parini
329,0060936193,Jeffrey Ford
330,0060936509,Matt Ridley
330,0060936509,Alan Lightman
331,0060936649,David Edmonds
331,0060936649,John Eidinow
332,0060936665,Larry Koenig
333,0060938102,Irvin Yalom
334,0060954833,Kuki Gallmann
335,0060955422,Charles Neider
336,0060956860,Betty Smith
337,0060957352,Russell Banks
338,0060957603,Colin McGinn
339,0060958332,Steven Pinker
340,0060959037,Barbara Kingsolver
341,0060964049,Armistead Maupin
342,0060973331,Barbara Ehrenreich
343,0060974680,Norman Davies
344,0060974990,Jonathan Kozol
345,0060975008,Richard Powers
346,0060975091,Richard Powers
347,0060975946,Oscar Hijuelos
348,0060976098,Denis Johnson
349,0060976101,Denis Johnson
350,006097611X,Richard Powers
351,0060976721,Amy Hempel
352,0060977086,Richard Powers
353,0060977493,Arundhati Roy
354,0060977663,James Davidson
355,0060987324,Douglas Coupland
356,0060987464,Marilyn Manson
356,0060987464,Neil Strauss
357,0060987529,Gregory Maguire
358,0060989157,Tommy Lee
358,0060989157,Vince Neil
358,0060989157,Nikki Sixx
358,0060989157,Mick Mars
359,0060997028,Milan Kundera
359,0060997028,Aaron Asher
360,0061015628,Shirley Rousseau Murphy
361,0061020095,Poppy Z. Brite
362,0061020575,Margaret Weis
362,0061020575,Tracy Hickman
363,0061020702,Terry Pratchett
364,0061030651,Patrick Robinson
365,0061052396,Margaret Weis
365,0061052396,Denise Little
365,0061052396,Tracy Hickman
366,0061053562,Iain Banks
367,006105366X,Tananarive Due
368,0061054674,Janny Wurts
369,0061054682,Janny Wurts
370,0061054909,Poppy Z. Brite
371,0061056006,Shirley Rousseau Murphy
372,0061059471,Shirley Rousseau Murphy
373,006109398X,Orson Scott Card
374,0061093998,Orson Scott Card
375,0061094153,Clive Barker
376,0061094226,Stuart Woods
377,0061094234,Stuart Woods
378,0061096857,Patrick Robinson
379,0061120065,Zora Neale Hurston
380,0061120073,Betty Smith
381,0061120251,Isabel Allende
382,0061122092,Paulo Coelho
383,0061122416,Paulo Coelho
384,0061124265,Paulo Coelho
385,0061125938,Margaret Wise Brown
385,0061125938,Clement Hurd
386,0061127760,E. B. White
387,0061127914,Lauren Bacall
388,0061129739,Erich Fromm
389,006113127X,Charles Bukowski
390,0061131520,Corinne Hofmann
391,0061131628,Julie Andrews Edwards
392,0061136905,Paul Kengor
393,0061137030,Paul Bowles
394,0061137367,Paul Bowles
395,0061137456,Allen Ginsberg
395,0061137456,Barry Miles
396,0061139378,Neil Gaiman
397,0061139637,Paul Bowles
398,0061140503,Cait London
399,0061140538,Claudia Carroll
400,0061142026,Neil Gaiman
401,0061144894,Sue Monk Kidd
402,0061145394,Mary Stewart
403,0061150142,Jodi Picoult
404,0061159174,Edward P. Jones
405,0061161578,Isabel Allende
406,0061177598,Charles Bukowski
407,0061196673,Carl Zimmer
408,0061196681,Frank Warren
409,0061198757,Frank Warren
410,0061205699,Harper Lee
411,0061208493,C. S. Lewis
412,0061238236,Zecharia Sitchin
413,0061312118,Ludwig Wittgenstein
414,0062507540,Robert A. Johnson
415,0062508113,Huston Smith
416,0062508865,Karen Armstrong
417,0062511114,Epictetus
418,006251279X,Paulo Coelho
418,006251279X,Alan R. Clarke
419,0062513346,Paulo Coelho
420,006251637X,Rosita Arvigo
420,006251637X,Nadine Epstein
421,0062545035,Madeleine L'Engle
422,0062700251,Richard P. Martin
423,0064300897,Hugh Honour
424,0064400964,Maud Hart Lovelace
425,0064400999,Maud Hart Lovelace
426,0064401103,Maud Hart Lovelace
427,0064401588,Rose Wilder Lane
428,0064401685,Bill Brittain
429,0064402452,Jane Leslie Conly
430,006440336X,Laurence Yep
431,0064403874,Jane Leslie Conly
432,0064404412,Laurence Yep
433,0064404897,Laurence Yep
434,0064405443,Maud Hart Lovelace
435,0064405451,Maud Hart Lovelace
436,0064405478,Maud Hart Lovelace
437,0064405710,Jane Leslie Conly
438,0064405850,Lois Lenski
439,0064405958,Gregory Maguire
440,0064406032,Laurence Yep
441,006440630X,Karen Cushman
442,006440692X,Laura Ingalls Wilder
443,0064407144,Melissa Wiley
444,0064407314,Walter Dean Myers
445,0064408582,Maud Hart Lovelace
446,0064408671,E. B. White
447,0064408744,Gregory Maguire
448,0064409902,Cynthia Rylant
448,0064409902,Jim LaMarche
449,006441034X,Diana Wynne Jones
450,0064410722,Gregory Maguire
451,0064410935,E. B. White
452,0064420809,Heather Henson
452,0064420809,Laura Ingalls Wilder
453,0064420817,Laura Ingalls Wilder
454,0064433730,Laura Ingalls Wilder
455,0064434877,Laura Ingalls Wilder
456,006443494X,Laura Ingalls Wilder
457,0064434982,Laura Ingalls Wilder
458,0064435261,Laura Ingalls Wilder
459,0064440575,Syd Hoff
460,0064440958,Syd Hoff
461,0064441768,Syd Hoff
462,0064462048,Carolyn Strom Collins
463,006446234X,William Anderson
464,0064471969,Garth Nix
465,0064472779,Meg Cabot
466,0064473554,Diana Wynne Jones
467,0066236177,Shel Silverstein
468,0066238501,C. S. Lewis
469,0066620104,Stanley Bing
470,006757520X,Rachel Carson
471,0071348271,Ken Blanchard
471,0071348271,Terry Waghorn
472,0071401946,Kerry Patterson
472,0071401946,Joseph Grenny
472,0071401946,Ron McMillan
472,0071401946,Al Switzler
473,007141858X,Leil Lowndes
474,0071428488,R. de Roussy de Sales
475,0071433716,Jennifer Hendricks
476,0071451382,Paola Nanni-Tate
477,007222696X,Kevin Mandia
